Title,Zone,Latitude,Longitude,Operator,Post Code,Alternate Title,Total Spaces,Allowed Vehicles,Last Tariff Update,Charge Times,Parking Rate / Hour,Convenience Fee,Remainder Message Fee,Summary Message Fee,Maximum Stay,Extendable Upto,Advance Parking,Location Type,Number of Allowed Vehicle Types
Ravenna Road,14,51.4604301,-0.219789997,London Borough of Wandsworth,,Ravenna Road/Putney 1,0,Car,04 June 2023,Monday to Saturday 8:30am - Midnight,£0.65 (0.06),18p,18p,18p,1 Hour,Forever,No,On street,1
St John's Avenue,21,51.4590988,-0.213550001,London Borough of Wandsworth,,St John's Avenue/Putney 2,0,Car,04 June 2023,Monday to Saturday 8:30am - Midnight,£0.65 (0.06),18p,18p,18p,2 Hours,Forever,No,On street,1
Montserrat Road,31,51.4629288,-0.214220002,London Borough of Wandsworth,,Montserrat Road/Putney 2,0,Car,04 June 2023,Monday to Saturday 8:30am - Midnight,£0.65 (0.06),18p,18p,18p,2 Hours,Forever,No,On street,1
Putney Bridge Road,36,51.4631615,-0.210840002,London Borough of Wandsworth,,Putney Bridge Road/Putney 2,0,Car,04 June 2023,Monday to Saturday 8:30am - Midnight,£0.65 (0.06),18p,18p,18p,2 Hours,Forever,No,On street,1
Gwendolen Avenue,50,51.4600792,-0.222619995,London Borough of Wandsworth,,Gwendolen Avenue/Putney 3,0,Car,04 June 2023,Monday to Saturday 8:30am - Midnight,£0.56 (0.05),18p,18p,18p,4 Hours,Forever,No,On street,1
Embankment,56,51.46735,-0.216619998,London Borough of Wandsworth,,Embankment/Putney 3,0,Car,04 June 2023,Monday to Saturday 8:30am - Midnight,£0.56 (0.05),18p,18p,18p,4 Hours,Forever,No,On street,1
Carlton Drive,74,51.4578094,-0.213420004,London Borough of Wandsworth,,Carlton Drive/Putney 3,0,Car,04 June 2023,Monday to Saturday 8:30am - Midnight,£0.56 (0.05),18p,18p,18p,4 Hours,Forever,No,On street,1
Putney Bridge Road,80,51.4594803,-0.19867,London Borough of Wandsworth,,Putney Bridge Road/Putney 3,0,Car,04 June 2023,Monday to Saturday 8:30am - Midnight,£0.56 (0.05),18p,18p,18p,4 Hours,Forever,No,On street,1
Battersea Park Car Park - Chelsea,201,51.4794312,-0.164480001,London Borough of Wandsworth,,Battersea Park Car Park - Chelsea/Battersea Park,0,Car,21 May 2023,Monday to Friday 9:00am - 5:00pm,£2.90,18p,18p,18p,8 Hours,Forever,No,Off street,1
Battersea Park Car Park - Rosary,202,51.4761505,-0.155839995,London Borough of Wandsworth,,Battersea Park Car Park - Rosary/Battersea Park,0,Car,21 May 2023,Monday to Friday 9:00am - 5:00pm,£2.90,18p,18p,18p,8 Hours,Forever,No,Off street,1
Whipps Cross Hospital - Car Park 1 and 2,1165,51.5794411,0.00106000004,Barts Health NHS Trust,,Whipps Cross Hospital - Car Park 1 and 2/Cashless,0,Car,10 January 2022,All Week,£2.50,20p,10p,10p,24 Hours,Forever,No,Off street,1
Fratton Road,1200,50.7967491,-1.07684004,Portsmouth City Council,PO1 5BX,Fratton Road/Central On Street,38,Car,20 March 2023,All Week 8:00am - 6:00pm,£1.00,10p,10p,10p,10 Hours,Forever,No,On street,1
Trimmers Court,1250,50.7916985,-1.10751998,Portsmouth City Council,PO1 2JJ,Trimmers Court/Central On Street,1,Car,20 March 2023,All Week 8:00am - 6:00pm,£1.80,10p,10p,10p,10 Hours,Forever,No,On street,1
Henderson Road,1251,50.7870483,-1.04430997,Portsmouth City Council,PO4 9SJ,Henderson Road/Seafront On Street,8,Car,20 March 2023,All Week 8:00am - 6:00pm,£2.00,10p,10p,10p,10 Hours,Up to Maximum stay,No,On street,1
Nancy Road,1252,50.7988091,-1.07623005,Portsmouth City Council,PO1 5DF,Nancy Road/District On Street,10,Car,20 March 2023,All Week 8:00am - 6:00pm,£1.20,10p,10p,10p,10 Hours,Up to Maximum stay,No,On street,1
Dugald Drummond Street,1253,50.7978706,-1.09047997,Portsmouth City Council,PO1 2RX,Dugald Drummond Street/Central On Street,4,Car,20 March 2023,All Week,£1.80,10p,10p,10p,1 Day,Up to Maximum stay,No,On street,1
Gunwharf Road,1254,50.7898903,-1.10615003,Portsmouth City Council,PO1 2JA,Gunwharf Road/Central On Street,10,Car,20 March 2023,All Week,£1.80,10p,10p,10p,1 Day,Up to Maximum stay,No,On street,1
Portland Road,1255,50.7856216,-1.08987999,Portsmouth City Council,PO5 3HN,Portland Road/Central On Street,10,Car,20 March 2023,All Week 8:00am - 6:00pm,£2.00,10p,10p,10p,10 Hours,Up to Maximum stay,No,On street,1
Clarence Esplanade Bus Stand,1256,50.7850189,-1.09955001,Portsmouth City Council,PO5 3AA,Clarence Esplanade Bus Stand/Seafront On Street,0,Coach,17 December 2014,All Week 8:00am - 6:00pm,£1.00,10p,10p,10p,10 Hours,Up to Maximum stay,No,On street,1
MC Bramble Road RVP,1264,50.7919502,-1.07472003,Portsmouth City Council,PO40DS,MC Bramble Road RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,1 Day,Forever,No,On street,1
NA Priorsdean Avenue RVP,1265,50.80196,-1.06215,Portsmouth City Council,PO36AH,NA Priorsdean Avenue RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,Off street,1
MA Beatrice Road / Leopold Street RVP,1266,50.7860985,-1.07515001,Portsmouth City Council,PO40JZ,MA Beatrice Road / Leopold Street RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
LA North Southsea RVP,1267,50.7927208,-1.09063005,Portsmouth City Council,PO54JA,LA North Southsea RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
KD Castle Road RVP,1268,50.789341,-1.09308004,Portsmouth City Council,PO53DY,KD Castle Road RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
KC West Southsea RVP,1269,50.7860107,-1.09156001,Portsmouth City Council,PO53HR,KC West Southsea RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,Off street,1
KB Hambrook RVP,1270,50.7906609,-1.09459996,Portsmouth City Council,PO53BW,KB Hambrook RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
JF Garnier Street RVP,1271,50.7993813,-1.07849002,Portsmouth City Council,PO11PD,JF Garnier Street RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
JE Fratton West RVP,1272,50.7972717,-1.07770002,Portsmouth City Council,PO11PT,JE Fratton West RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
JD North Portsea RVP,1273,50.8012695,-1.10082996,Portsmouth City Council,PO13JE,JD North Portsea RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
JC Hyde Park Road RVP,1274,50.7958183,-1.08805001,Portsmouth City Council,PO54HP,JC Hyde Park Road RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
JB Landport RVP,1275,50.8007889,-1.08449996,Portsmouth City Council,PO11HT,JB Landport RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
JA Portsea RVP,1276,50.798851,-1.10228002,Portsmouth City Council,PO13BZ,JA Portsea RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,Off street,1
HB Coniston Avenue RVP,1277,50.8130302,-1.06415999,Portsmouth City Council,PO35BB,HB Coniston Avenue RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
HA Baffins Road RVP,1278,50.8055305,-1.06338,Portsmouth City Council,PO36BE,HA Baffins Road RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
GB Alverstone Road RVP,1279,50.7965813,-1.06212997,Portsmouth City Council,PO48RR,GB Alverstone Road RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
FF Rudmore Court RVP,1280,50.8147316,-1.08599997,Portsmouth City Council,PO28SS,FF Rudmore Court RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,Off street,1
FE Bucklers Court RVP,1281,50.8176804,-1.08053005,Portsmouth City Council,PO29AW,FE Bucklers Court RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
FD Bevis Road RVP,1282,50.8141212,-1.08314002,Portsmouth City Council,PO28BA,FD Bevis Road RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
FC North Landport RVP,1283,50.8055992,-1.08542001,Portsmouth City Council,PO14EW,FC North Landport RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
FB Whale Island Way RVP,1284,50.8158302,-1.08993995,Portsmouth City Council,PO28EW,FB Whale Island Way RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,Off street,1
FA Old Commercial Road RVP,1285,50.8067093,-1.08687997,Portsmouth City Council,PO14QL,FA Old Commercial Road RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
BE Portsmouth Road RVP,1286,50.8395996,-1.06865001,Portsmouth City Council,PO62SJ,BE Portsmouth Road RVP/Resident Visitor Permits,0,Car,01 June 2020,Monday to Saturday,£1.15,,10p,10p,24 Hours,Forever,No,Off street,1
BD Windsor Road RVP,1287,50.8412514,-1.06581998,Portsmouth City Council,PO62TG,BD Windsor Road RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,Off street,1
BC East Cosham RVP,1288,50.8484917,-1.06262004,Portsmouth City Council,PO62DR,BC East Cosham RVP/Resident Visitor Permits,0,Car,01 June 2020,Monday to Friday,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
BB The Heights RVP,1289,50.8513908,-1.06625998,Portsmouth City Council,PO63UH,BB The Heights RVP/Resident Visitor Permits,0,Car,01 June 2020,Monday to Saturday,£1.15,,10p,10p,24 Hours,Forever,No,Off street,1
BA Park Grove RVP,1290,50.8429985,-1.06543005,Portsmouth City Council,PO6 2PH,BA Park Grove RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
AB Wymering RVP,1291,50.8491211,-1.07732999,Portsmouth City Council,PO63JS,AB Wymering RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,Off street,1
AA Newbolt Road RVP,1292,50.8507996,-1.10645998,Portsmouth City Council,PO54DJ,AA Newbolt Road RVP/Resident Visitor Permits,0,Car,01 June 2020,All Week,£1.15,,10p,10p,24 Hours,Forever,No,On street,1
Clarence Esplanade (Prime),1294,50.7800789,-1.09009004,Portsmouth City Council,PO5 3AP,Clarence Esplanade (Prime)/Seafront On Street,0,Car,19 December 2012,All Week 8:00am - 6:00pm,£1.00,10p,10p,10p,2 Hours,Up to Maximum stay,No,Off street,1
College Street (Prime),1295,50.7983093,-1.10564005,Portsmouth City Council,PO1 3DT,College Street (Prime)/Central On Street,10,Car,19 December 2012,All Week 8:00am - 6:00pm,£1.00,10p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Landport View (Prime),1296,50.8021393,-1.08927,Portsmouth City Council,PO1 4AJ,Landport View (Prime)/Central On Street,10,Car,19 December 2012,All Week 8:00am - 6:00pm,£1.00,10p,10p,10p,1 Hour,Up to Maximum stay,No,On street,1
